IMF Country Code,Country Code,Country,Category,Year,Inflation
213,ARG,Argentina,Food Consumer Price Inflation,2011,14.4
213,ARG,Argentina,Food Consumer Price Inflation,2012,8.7
213,ARG,Argentina,Food Consumer Price Inflation,2013,
213,ARG,Argentina,Food Consumer Price Inflation,2014,
213,ARG,Argentina,Food Consumer Price Inflation,2015,
213,ARG,Argentina,Food Consumer Price Inflation,2016,49.43
213,ARG,Argentina,Food Consumer Price Inflation,2017,20.36
213,ARG,Argentina,Food Consumer Price Inflation,2018,32.74
213,ARG,Argentina,Food Consumer Price Inflation,2019,58.34
213,ARG,Argentina,Food Consumer Price Inflation,2020,46.97
213,ARG,Argentina,Food Consumer Price Inflation,2021,49.85
339,BLZ,Belize,Food Consumer Price Inflation,2011,0.42
339,BLZ,Belize,Food Consumer Price Inflation,2012,2.38
339,BLZ,Belize,Food Consumer Price Inflation,2013,1.47
339,BLZ,Belize,Food Consumer Price Inflation,2014,0.79
339,BLZ,Belize,Food Consumer Price Inflation,2015,-0.38
339,BLZ,Belize,Food Consumer Price Inflation,2016,0.07
339,BLZ,Belize,Food Consumer Price Inflation,2017,-1.12
339,BLZ,Belize,Food Consumer Price Inflation,2018,-0.53
339,BLZ,Belize,Food Consumer Price Inflation,2019,0.64
339,BLZ,Belize,Food Consumer Price Inflation,2020,1.12
339,BLZ,Belize,Food Consumer Price Inflation,2021,
218,BOL,Bolivia,Food Consumer Price Inflation,2011,13.94
218,BOL,Bolivia,Food Consumer Price Inflation,2012,3.92
218,BOL,Bolivia,Food Consumer Price Inflation,2013,8.85
218,BOL,Bolivia,Food Consumer Price Inflation,2014,8.12
218,BOL,Bolivia,Food Consumer Price Inflation,2015,4.61
218,BOL,Bolivia,Food Consumer Price Inflation,2016,5.51
218,BOL,Bolivia,Food Consumer Price Inflation,2017,3.35
218,BOL,Bolivia,Food Consumer Price Inflation,2018,2.54
218,BOL,Bolivia,Food Consumer Price Inflation,2019,3.36
218,BOL,Bolivia,Food Consumer Price Inflation,2020,-0.65
218,BOL,Bolivia,Food Consumer Price Inflation,2021,0.61
223,BRA,Brazil,Food Consumer Price Inflation,2011,8.85
223,BRA,Brazil,Food Consumer Price Inflation,2012,8.13
223,BRA,Brazil,Food Consumer Price Inflation,2013,11.16
223,BRA,Brazil,Food Consumer Price Inflation,2014,7.52
223,BRA,Brazil,Food Consumer Price Inflation,2015,9.8
223,BRA,Brazil,Food Consumer Price Inflation,2016,12.49
223,BRA,Brazil,Food Consumer Price Inflation,2017,0.89
223,BRA,Brazil,Food Consumer Price Inflation,2018,0.87
223,BRA,Brazil,Food Consumer Price Inflation,2019,4.86
223,BRA,Brazil,Food Consumer Price Inflation,2020,9.07
223,BRA,Brazil,Food Consumer Price Inflation,2021,
156,CAN,Canada,Food Consumer Price Inflation,2011,4.24
156,CAN,Canada,Food Consumer Price Inflation,2012,2.35
156,CAN,Canada,Food Consumer Price Inflation,2013,1.09
156,CAN,Canada,Food Consumer Price Inflation,2014,2.51
156,CAN,Canada,Food Consumer Price Inflation,2015,4.1
156,CAN,Canada,Food Consumer Price Inflation,2016,1.02
156,CAN,Canada,Food Consumer Price Inflation,2017,-1.01
156,CAN,Canada,Food Consumer Price Inflation,2018,0.81
156,CAN,Canada,Food Consumer Price Inflation,2019,3.68
156,CAN,Canada,Food Consumer Price Inflation,2020,2.4
156,CAN,Canada,Food Consumer Price Inflation,2021,2.2
228,CHL,Chile,Food Consumer Price Inflation,2011,6.69
228,CHL,Chile,Food Consumer Price Inflation,2012,7.63
228,CHL,Chile,Food Consumer Price Inflation,2013,4.43
228,CHL,Chile,Food Consumer Price Inflation,2014,6.98
228,CHL,Chile,Food Consumer Price Inflation,2015,7.12
228,CHL,Chile,Food Consumer Price Inflation,2016,3.82
228,CHL,Chile,Food Consumer Price Inflation,2017,2.01
228,CHL,Chile,Food Consumer Price Inflation,2018,3.06
228,CHL,Chile,Food Consumer Price Inflation,2019,2.38
228,CHL,Chile,Food Consumer Price Inflation,2020,6.74
228,CHL,Chile,Food Consumer Price Inflation,2021,5.41
233,COL,Colombia,Food Consumer Price Inflation,2011,4.57
233,COL,Colombia,Food Consumer Price Inflation,2012,3.42
233,COL,Colombia,Food Consumer Price Inflation,2013,0.41
233,COL,Colombia,Food Consumer Price Inflation,2014,2.97
233,COL,Colombia,Food Consumer Price Inflation,2015,8.63
233,COL,Colombia,Food Consumer Price Inflation,2016,13.11
233,COL,Colombia,Food Consumer Price Inflation,2017,0.69
233,COL,Colombia,Food Consumer Price Inflation,2018,0.83
233,COL,Colombia,Food Consumer Price Inflation,2019,4.89
233,COL,Colombia,Food Consumer Price Inflation,2020,5.55
233,COL,Colombia,Food Consumer Price Inflation,2021,9.72
238,CRI,Costa Rica,Food Consumer Price Inflation,2011,5.6
238,CRI,Costa Rica,Food Consumer Price Inflation,2012,3.53
238,CRI,Costa Rica,Food Consumer Price Inflation,2013,3.83
238,CRI,Costa Rica,Food Consumer Price Inflation,2014,4.27
238,CRI,Costa Rica,Food Consumer Price Inflation,2015,3.19
238,CRI,Costa Rica,Food Consumer Price Inflation,2016,-0.81
238,CRI,Costa Rica,Food Consumer Price Inflation,2017,1.68
238,CRI,Costa Rica,Food Consumer Price Inflation,2018,1.63
238,CRI,Costa Rica,Food Consumer Price Inflation,2019,0.8
238,CRI,Costa Rica,Food Consumer Price Inflation,2020,0.48
